variable,before,after
American Kestrel,1.905347132,-1.125574622
American Kestrel,2.456672851,-1.279910804
American Kestrel,2.656337937,-1.223241775
American Kestrel,1.764964922,-1.115335271
American Kestrel,2.266406889,-1.000660532
American Kestrel,2.031889644,-0.92155012
American Kestrel,1.436727648,-1.633286688
American Kestrel,2.329696877,-1.159867129
American Kestrel,2.979249932,-1.307170331
American Kestrel,2.85431325,-1.358330583
American Kestrel,2.276459544,-0.995649454
American Kestrel,1.623885674,-1.042547032
American Kestrel,2.690982549,-0.920894349
American Kestrel,1.872177512,-0.732217956
American Kestrel,1.847939485,-0.700311463
American Kestrel,1.762984486,-0.991828773
American Kestrel,1.668179408,-0.800649309
American Kestrel,1.982985941,-0.880628436
American Kestrel,1.382531225,-1.042590213
American Kestrel,1.983986762,-0.92133816
American Kestrel,2.389519938,-0.993555186
American Kestrel,1.792413497,-1.180358015
American Kestrel,1.822149457,-1.169469332
American Kestrel,1.998919876,-0.874361809
American Kestrel,1.316253005,-0.900396316
American Kestrel,2.290778047,-1.447215912
American Kestrel,1.290062902,-0.789163526
American Kestrel,2.307952813,-1.384471336
American Kestrel,2.182969249,-0.888892701
American Kestrel,1.885388565,-1.137838395
American Kestrel,2.183928014,-0.907665945
American Kestrel,2.418940497,-1.106633904
American Kestrel,1.72445412,-1.19212202
American Kestrel,2.32203148,-1.130745109
American Kestrel,2.218570586,-0.974060055
American Kestrel,2.424696665,-0.73385596
American Kestrel,2.012503844,-1.209524299
American Kestrel,2.358150631,-0.603143506
American Kestrel,2.825465665,-1.269829837
American Kestrel,1.814772945,-1.031747326
American Kestrel,2.248934409,-0.959815189
American Kestrel,1.968392161,-0.761840628
American Kestrel,1.365681929,-1.284491198
American Kestrel,2.603494038,-0.961677504
American Kestrel,2.002112188,-0.95987091
American Kestrel,2.824792897,-1.072899853
American Kestrel,2.285390161,-1.014212597
American Kestrel,2.795139188,-0.869414152
American Kestrel,2.19628934,-0.836842273
American Kestrel,2.547426217,-0.99255774
American Kestrel,2.656069179,-0.907169081
American Kestrel,1.994622663,-0.71375439
American Kestrel,1.660128648,-0.965047872
American Kestrel,1.701249558,-1.066358472
American Kestrel,1.847646569,-1.142694323
American Kestrel,1.522488398,-0.943957418
American Kestrel,1.345192435,-1.119165842
American Kestrel,3.110086054,-1.007273305
American Kestrel,2.381721885,-1.137057728
American Kestrel,1.832773651,-0.962353784
American Kestrel,1.362442057,-0.956881809
American Kestrel,2.144058659,-1.401352509
American Kestrel,2.680594003,-0.762392227
American Kestrel,1.441539689,-0.702375149
American Kestrel,2.295510846,-1.064122367
American Kestrel,2.032693967,-0.874345873
American Kestrel,1.921041056,-0.761497027
American Kestrel,3.362253675,-1.093735707
American Kestrel,1.565011596,-0.50928435
American Kestrel,2.273776648,-1.007608488
American Kestrel,2.821113897,-1.061047131
